exp_num,kernel_size,dropout_rate,batch_size,test_acc,test_loss,train_acc,val_acc,train_loss,val_loss
1,3,0.25,32,0.9067493677139282,0.2837914526462555,0.8656245470046997,0.9001131057739258,0.3878474533557892,0.30500897765159607
2,5,0.25,32,0.8996052145957947,0.29582321643829346,0.8615518808364868,0.8927628993988037,0.4034897983074188,0.31706053018569946
3,7,0.25,32,0.8542959094047546,0.45066022872924805,0.7907857894897461,0.8484734296798706,0.5922618508338928,0.45568832755088806
4,3,0.35,32,0.8930249810218811,0.32512497901916504,0.8287819623947144,0.8955898880958557,0.4883439540863037,0.33685004711151123
5,5,0.35,32,0.8922730088233948,0.33800503611564636,0.820165753364563,0.8823972940444946,0.5159184336662292,0.36122262477874756
6,7,0.35,32,0.8360593914985657,0.4903086721897125,0.7836527228355408,0.8360346555709839,0.6294676065444946,0.4935504198074341
7,3,0.45,32,0.8631321787834167,0.42331069707870483,0.7816987633705139,0.8578967452049255,0.6313862800598145,0.43804383277893066
8,5,0.45,32,0.879300594329834,0.37238284945487976,0.7887848019599915,0.8759894371032715,0.6087819337844849,0.3857884407043457
9,7,0.45,32,0.8482797741889954,0.45897096395492554,0.7758133411407471,0.8413116931915283,0.6465243697166443,0.48571157455444336
10,3,0.25,64,0.9024252891540527,0.283113956451416,0.8717218041419983,0.9067093729972839,0.37684938311576843,0.2913561463356018
11,5,0.25,64,0.9018612504005432,0.294390469789505,0.8459673523902893,0.8920090198516846,0.44260814785957336,0.3212093710899353
12,7,0.25,64,0.8490317463874817,0.4491466283798218,0.8417769074440002,0.8467772603034973,0.46304309368133545,0.4468880593776703
10,3,0.25,64,0.9014852046966553,0.30821314454078674,0.841423749923706,0.8976629972457886,0.457382470369339,0.3194833993911743
11,5,0.25,64,0.9137055277824402,0.2681266665458679,0.8791609406471252,0.9123633503913879,0.35172781348228455,0.2713125944137573
12,7,0.25,64,0.8366234302520752,0.5043337345123291,0.7753896117210388,0.8364115953445435,0.6412930488586426,0.5134052038192749
13,3,0.35,64,0.897161066532135,0.334976464509964,0.830547571182251,0.8918205499649048,0.49622464179992676,0.3458710014820099
14,5,0.35,64,0.9037413001060486,0.2969875931739807,0.8469325304031372,0.9031285047531128,0.4423595368862152,0.30201759934425354
15,7,0.35,64,0.8569279909133911,0.448155015707016,0.7791798114776611,0.8494157195091248,0.6370683908462524,0.45975837111473083
16,3,0.45,64,0.9103214740753174,0.2699395418167114,0.8480625152587891,0.9087824821472168,0.4420302212238312,0.28125330805778503
17,5,0.45,64,0.8828727006912231,0.3500441908836365,0.8363387584686279,0.8805125951766968,0.47089526057243347,0.3621976673603058
18,7,0.45,64,0.887384831905365,0.3599398732185364,0.7876783013343811,0.8748586177825928,0.6083328127861023,0.3813403844833374
19,3,0.25,128,0.91859370470047,0.2525424361228943,0.886435329914093,0.9168865084648132,0.32957324385643005,0.2590858042240143
20,5,0.25,128,0.9046813249588013,0.2957821190357208,0.8553133010864258,0.9031285047531128,0.4147475063800812,0.3059009611606598
21,7,0.25,128,0.9007331728935242,0.31124356389045715,0.8248504996299744,0.8969091176986694,0.5029709339141846,0.3156304359436035
22,3,0.35,128,0.9200977087020874,0.23679177463054657,0.8741701245307922,0.917074978351593,0.36118555068969727,0.2446315735578537
23,5,0.35,128,0.8802406191825867,0.36698395013809204,0.8272046446800232,0.8769317865371704,0.5023443698883057,0.37173354625701904
24,7,0.35,128,0.7898101210594177,0.5925970077514648,0.7281651496887207,0.7940067648887634,0.7592816352844238,0.6049214005470276
25,3,0.45,128,0.8383154273033142,0.4904295802116394,0.7480342388153076,0.8356577157974243,0.7155696749687195,0.4987265467643738
26,5,0.45,128,0.8866328001022339,0.358167439699173,0.7967653870582581,0.8846588730812073,0.5791536569595337,0.36792299151420593
27,7,0.45,128,0.8746004700660706,0.37956127524375916,0.8002495169639587,0.8688277006149292,0.5718911290168762,0.39506959915161133
